,,,,,,,,,,,,,,,,,,,,
"Monthly House Price Indexes for Census Divisions and U.S.
Purchase-Only Index (Only Index available with Monthly Frequency)

NSA=Not Seasonally Adjusted; SA=Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Month,"East North Central
(NSA)","East North Central
(SA)","East South Central
(NSA)","East South Central
(SA)","Middle Atlantic
(NSA)","Middle Atlantic
(SA)","Mountain

(NSA)","Mountain

(SA)","New England

(NSA)","New England

(SA)","Pacific

(NSA)","Pacific

(SA)","South Atlantic
(NSA)","South Atlantic
(SA)","West North Central
(NSA)","West North Central
(SA)","West South Central
(NSA)","West South Central
(SA)","USA

(NSA)","USA

(SA)"
,,,,,,,,,,,,,,,,,,,,
1/1/1991,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2/1/1991,100.99,101.07,100.82,100.31,100.01,100.19,98.41,98.55,101.89,102.54,100.20,100.52,100.54,100.39,100.62,100.52,99.89,99.68,100.40,100.43
3/1/1991,101.36,101.00,101.00,100.55,99.93,99.76,100.15,100.52,101.69,101.45,99.98,100.13,101.02,100.63,100.40,99.97,100.79,100.54,100.71,100.49
4/1/1991,101.75,101.05,100.88,100.54,99.35,99.04,100.42,100.31,101.04,101.00,100.15,100.06,100.98,100.53,100.91,100.29,100.43,100.10,100.71,100.32
5/1/1991,102.39,101.44,101.20,100.74,99.59,99.10,100.72,100.37,99.75,99.79,100.38,100.11,100.84,100.61,100.68,100.08,100.89,100.35,100.87,100.39
6/1/1991,102.82,101.56,102.15,101.54,99.65,98.78,102.13,101.41,99.22,98.71,100.41,99.87,101.34,100.67,101.49,100.43,102.02,100.95,101.37,100.52
7/1/1991,103.02,101.94,101.96,101.53,100.11,99.04,101.47,101.26,99.19,98.76,100.45,99.84,101.04,100.48,101.35,100.30,101.75,100.81,101.32,100.54
8/1/1991,103.18,102.12,101.65,100.72,99.63,98.60,101.91,101.28,98.46,98.01,100.75,99.94,100.80,100.03,101.82,100.63,101.52,100.58,101.26,100.37
9/1/1991,102.87,102.05,101.96,101.13,100.17,99.24,101.87,101.50,100.00,99.12,100.38,99.62,100.76,100.13,101.67,100.75,102.13,101.44,101.37,100.61
10/1/1991,103.09,102.40,101.96,101.58,99.97,98.95,103.18,102.51,99.28,98.76,100.89,100.33,101.69,100.97,101.88,101.35,101.38,100.66,101.60,100.92
11/1/1991,104.00,103.38,102.93,102.29,100.94,100.05,104.12,103.83,98.35,97.44,100.86,100.59,102.19,101.36,101.86,101.36,101.98,101.34,102.10,101.47
12/1/1991,103.75,103.45,103.51,103.25,100.64,100.30,103.58,103.52,99.07,98.70,101.04,100.64,101.92,101.61,102.94,102.49,102.09,101.87,102.15,101.84
1/1/1992,103.93,103.95,103.37,103.38,100.68,100.70,104.31,104.38,99.83,99.85,100.95,100.95,101.93,101.92,102.46,102.47,102.39,102.39,102.25,102.26
2/1/1992,104.40,104.47,104.69,104.19,101.72,101.96,105.06,105.23,99.84,100.52,101.08,101.41,102.83,102.68,102.98,102.89,103.48,103.26,102.94,102.98
3/1/1992,105.57,105.21,104.40,103.94,101.32,101.18,105.60,105.99,99.69,99.48,100.63,100.78,102.72,102.34,103.97,103.50,102.76,102.52,103.02,102.80
4/1/1992,106.01,105.28,103.85,103.50,101.10,100.79,105.81,105.66,98.47,98.46,100.40,100.28,102.29,101.84,104.16,103.51,103.13,102.77,102.93,102.54
5/1/1992,106.62,105.64,104.45,103.98,100.85,100.32,106.66,106.25,97.57,97.58,100.53,100.25,102.33,102.10,104.45,103.78,103.22,102.62,103.12,102.61
6/1/1992,107.01,105.69,104.88,104.21,101.19,100.25,107.66,106.89,97.07,96.49,100.32,99.74,102.54,101.85,105.30,104.17,104.08,103.00,103.47,102.57
7/1/1992,107.18,106.04,105.38,104.88,101.39,100.25,107.46,107.16,97.32,96.78,100.68,100.01,102.87,102.27,105.78,104.64,104.22,103.27,103.72,102.90
8/1/1992,107.61,106.50,106.41,105.42,101.37,100.26,108.71,107.98,98.22,97.72,100.99,100.15,103.90,103.09,106.08,104.82,105.01,104.02,104.33,103.38
9/1/1992,107.64,106.77,106.80,105.95,102.15,101.19,108.79,108.35,98.50,97.64,101.04,100.25,104.26,103.60,106.42,105.41,104.92,104.20,104.57,103.77
10/1/1992,108.26,107.51,107.03,106.60,102.38,101.35,110.10,109.39,98.50,98.00,100.11,99.57,104.45,103.74,106.17,105.58,105.65,104.92,104.76,104.07
11/1/1992,108.53,107.90,107.01,106.35,102.94,102.10,110.38,110.10,99.41,98.54,99.89,99.64,104.38,103.56,106.55,105.98,106.27,105.61,105.00,104.37
12/1/1992,108.82,108.52,107.09,106.80,101.57,101.26,111.44,111.37,97.74,97.44,99.58,99.20,103.63,103.32,106.75,106.27,105.30,105.09,104.59,104.28
1/1/1993,108.56,108.62,107.07,107.06,100.86,100.92,111.89,112.03,96.67,96.67,98.70,98.72,103.44,103.39,107.40,107.45,105.36,105.37,104.32,104.34
2/1/1993,108.38,108.43,106.96,106.53,100.41,100.75,111.93,112.16,94.64,95.32,97.69,98.06,103.37,103.22,107.79,107.72,105.72,105.53,104.03,104.09
3/1/1993,109.31,108.98,108.53,108.04,100.75,100.64,112.11,112.51,95.57,95.44,98.16,98.31,104.14,103.76,107.30,106.80,106.40,106.16,104.65,104.44
4/1/1993,110.34,109.58,108.77,108.35,101.70,101.39,114.10,113.90,96.56,96.55,98.43,98.31,105.02,104.56,108.90,108.23,106.97,106.59,105.52,105.11
5/1/1993,110.93,109.90,109.34,108.82,102.28,101.68,115.27,114.76,96.26,96.14,98.21,97.91,104.80,104.55,109.64,108.87,107.76,107.06,105.86,105.30
6/1/1993,112.00,110.60,109.75,108.96,102.50,101.47,116.32,115.49,97.77,96.93,98.56,97.94,105.83,105.09,110.61,109.40,108.71,107.61,106.67,105.70
7/1/1993,112.29,111.08,110.05,109.45,102.27,101.04,117.24,116.77,97.39,96.64,97.57,96.85,105.67,105.02,111.03,109.79,109.21,108.23,106.65,105.74
8/1/1993,112.69,111.52,111.00,109.95,102.52,101.27,118.55,117.68,97.06,96.40,98.01,97.17,106.08,105.22,111.95,110.60,109.48,108.39,107.12,106.08
9/1/1993,113.21,112.28,111.93,111.05,102.29,101.34,119.78,119.22,96.89,96.03,97.63,96.89,106.35,105.64,112.41,111.29,109.56,108.80,107.33,106.50
10/1/1993,113.34,112.53,111.52,111.01,102.49,101.53,120.67,119.92,95.91,95.41,97.74,97.28,106.39,105.71,112.63,111.98,110.41,109.65,107.49,106.79
11/1/1993,113.58,112.94,112.31,111.68,102.43,101.71,121.18,120.92,97.27,96.48,96.91,96.72,106.66,105.87,113.01,112.39,110.65,109.97,107.66,107.05
12/1/1993,113.85,113.55,112.42,112.12,101.92,101.65,121.76,121.69,97.19,96.94,97.08,96.78,107.04,106.75,113.68,113.19,110.95,110.74,107.86,107.57
1/1/1994,114.14,114.27,112.97,112.97,102.19,102.31,122.16,122.39,96.08,96.07,96.63,96.74,106.74,106.64,113.70,113.87,110.66,110.68,107.78,107.84
2/1/1994,114.47,114.50,114.25,113.90,101.11,101.56,123.64,123.98,96.23,97.03,96.14,96.57,107.08,106.93,113.75,113.73,111.28,111.11,107.94,108.05
3/1/1994,115.26,114.95,114.15,113.65,101.65,101.58,124.52,124.91,97.93,97.98,96.39,96.52,107.60,107.20,115.29,114.75,112.44,112.20,108.67,108.47
4/1/1994,116.50,115.71,115.39,114.89,101.81,101.49,126.15,125.84,96.80,96.81,96.95,96.76,108.32,107.83,115.73,115.03,112.32,111.90,109.24,108.79
5/1/1994,117.30,116.19,115.68,115.11,102.61,101.92,127.94,127.30,97.35,97.14,96.78,96.41,108.31,108.01,116.40,115.49,113.54,112.72,109.79,109.14
6/1/1994,118.02,116.53,116.39,115.45,102.83,101.68,129.07,128.17,98.90,97.82,97.15,96.47,109.08,108.26,117.18,115.88,113.82,112.69,110.42,109.36
7/1/1994,117.99,116.67,116.52,115.81,103.26,101.89,129.23,128.51,98.23,97.29,97.13,96.28,109.30,108.56,117.68,116.32,113.69,112.66,110.51,109.48
8/1/1994,118.42,117.17,117.51,116.41,103.12,101.69,130.37,129.35,97.55,96.76,97.07,96.17,109.88,108.93,118.14,116.70,114.20,113.03,110.84,109.71
9/1/1994,118.62,117.61,117.07,116.20,102.25,101.32,130.40,129.70,97.78,96.97,97.20,96.51,109.88,109.12,117.81,116.59,113.89,113.09,110.71,109.84
10/1/1994,119.04,118.15,117.63,117.09,102.41,101.52,131.43,130.67,97.20,96.73,96.46,96.05,109.87,109.23,117.73,116.98,114.24,113.49,110.77,110.08
11/1/1994,119.31,118.69,118.39,117.78,101.64,101.06,131.27,131.06,97.33,96.73,95.99,95.83,110.54,109.82,118.57,117.90,114.27,113.58,110.89,110.33
12/1/1994,119.01,118.72,117.91,117.61,100.43,100.19,131.89,131.87,97.14,97.03,96.12,95.92,110.25,109.97,117.91,117.46,114.17,113.94,110.58,110.32
1/1/1995,119.37,119.60,117.78,117.76,100.50,100.66,131.66,132.03,96.49,96.51,96.01,96.19,110.53,110.38,117.95,118.24,114.25,114.29,110.64,110.73
2/1/1995,120.20,120.21,119.25,118.99,100.42,100.97,132.96,133.42,96.27,97.09,96.07,96.55,110.93,110.77,118.83,118.85,114.42,114.26,111.09,111.23
3/1/1995,120.64,120.32,119.87,119.36,101.09,101.03,132.95,133.25,97.05,97.27,95.63,95.71,110.95,110.54,119.65,119.09,114.53,114.28,111.34,111.13
4/1/1995,121.90,121.09,119.60,118.99,101.67,101.35,134.29,133.83,97.19,97.20,95.21,94.96,111.00,110.47,120.39,119.67,115.63,115.15,111.81,111.32
5/1/1995,122.17,120.97,120.03,119.40,101.71,100.93,134.69,133.92,98.02,97.70,96.00,95.52,110.98,110.62,121.14,120.06,116.17,115.22,112.20,111.46
6/1/1995,123.38,121.81,121.98,120.90,102.58,101.31,136.35,135.41,98.75,97.43,96.10,95.33,111.78,110.89,122.11,120.73,116.27,115.10,113.01,111.86
7/1/1995,123.84,122.40,122.23,121.42,102.60,101.10,136.96,136.02,99.32,98.21,96.43,95.48,112.71,111.92,122.71,121.22,117.08,115.97,113.53,112.39
8/1/1995,124.42,123.11,122.30,121.17,103.43,101.87,137.73,136.60,99.07,98.13,96.48,95.56,112.88,111.89,123.25,121.74,117.37,116.11,113.88,112.68
9/1/1995,124.62,123.53,122.52,121.66,102.22,101.31,138.14,137.32,98.47,97.67,95.99,95.38,113.08,112.30,123.78,122.47,117.64,116.83,113.79,112.90
10/1/1995,124.94,123.98,123.34,122.75,101.71,100.90,137.81,137.08,98.43,97.92,95.69,95.36,112.80,112.22,123.83,123.00,117.33,116.60,113.68,112.99
11/1/1995,124.86,124.23,123.60,123.03,101.41,100.97,137.84,137.72,98.25,97.81,95.52,95.40,113.24,112.61,123.63,122.89,117.73,117.03,113.72,113.21
12/1/1995,125.28,125.02,123.70,123.41,101.59,101.37,138.60,138.68,98.06,98.04,95.31,95.23,113.04,112.78,124.15,123.77,118.15,117.91,113.86,113.65
1/1/1996,125.05,125.39,123.98,123.94,101.20,101.39,138.42,138.90,100.12,100.25,95.47,95.76,113.78,113.59,123.62,124.01,117.68,117.72,113.96,114.11
2/1/1996,126.19,126.18,123.70,123.48,101.22,101.83,138.80,139.37,98.79,99.67,95.17,95.66,113.48,113.30,124.48,124.52,118.38,118.23,114.12,114.29
3/1/1996,126.98,126.61,124.71,124.19,102.21,102.17,140.09,140.26,98.70,99.08,95.64,95.65,114.60,114.15,125.60,125.01,118.73,118.48,114.91,114.68
4/1/1996,128.48,127.68,125.56,124.87,102.12,101.83,141.53,140.96,99.47,99.43,95.84,95.51,114.87,114.30,126.63,125.89,119.07,118.52,115.52,114.99
5/1/1996,129.21,127.89,126.46,125.75,103.01,102.19,141.77,140.90,100.53,100.12,96.16,95.53,115.11,114.64,127.24,125.99,119.86,118.82,116.12,115.27
6/1/1996,129.68,128.03,126.85,125.64,103.38,101.97,142.43,141.46,101.78,100.27,96.52,95.66,115.52,114.52,127.69,126.20,120.61,119.39,116.63,115.38
7/1/1996,130.31,128.73,127.84,126.93,103.67,102.06,143.30,142.21,101.45,100.18,96.84,95.83,116.07,115.22,128.51,126.87,120.42,119.22,117.05,115.81
8/1/1996,130.05,128.65,127.80,126.70,103.77,102.12,142.86,141.71,101.54,100.45,96.60,95.67,116.29,115.25,128.62,127.01,120.76,119.44,117.05,115.79
9/1/1996,130.28,129.12,127.95,127.14,102.88,101.98,143.35,142.45,101.62,100.74,96.28,95.74,116.43,115.65,128.92,127.55,120.61,119.76,116.99,116.09
10/1/1996,130.10,129.08,128.49,127.95,102.51,101.75,143.43,142.75,101.16,100.58,96.39,96.12,116.23,115.68,128.63,127.74,120.34,119.64,116.85,116.18
11/1/1996,130.97,130.36,128.16,127.58,102.78,102.43,143.15,143.07,100.79,100.45,96.41,96.29,116.07,115.54,128.81,128.03,120.61,119.93,116.99,116.52
12/1/1996,130.77,130.55,128.57,128.27,102.11,101.90,142.77,142.96,101.05,101.09,96.28,96.32,116.27,116.07,129.19,128.90,120.81,120.56,116.96,116.80
1/1/1997,130.19,130.61,128.58,128.45,102.22,102.36,143.39,143.95,101.39,101.58,95.78,96.14,116.72,116.53,128.49,128.92,120.35,120.41,116.83,117.00
2/1/1997,130.82,130.80,129.89,129.67,101.84,102.49,143.73,144.34,100.16,101.02,95.79,96.26,117.10,116.93,129.06,129.11,120.97,120.82,117.09,117.27
3/1/1997,132.09,131.67,129.91,129.41,102.53,102.50,145.05,145.01,100.97,101.44,96.77,96.71,118.16,117.73,130.62,130.00,121.53,121.26,118.05,117.79
4/1/1997,132.36,131.56,130.80,130.06,103.18,102.93,146.01,145.34,102.78,102.70,97.79,97.40,117.88,117.31,130.62,129.85,122.01,121.38,118.57,118.00
5/1/1997,133.81,132.38,130.46,129.67,104.50,103.69,146.56,145.63,102.99,102.50,98.57,97.79,118.12,117.56,132.24,130.85,123.08,121.99,119.41,118.47
6/1/1997,134.30,132.62,131.45,130.15,104.37,102.84,146.84,145.81,104.37,102.76,98.80,97.84,119.11,118.04,131.95,130.33,123.25,122.02,119.85,118.51
7/1/1997,134.56,132.86,131.75,130.78,104.76,103.09,147.35,146.19,104.30,102.97,99.74,98.72,118.61,117.74,133.12,131.35,123.48,122.21,120.17,118.85
8/1/1997,134.85,133.37,132.05,131.01,105.13,103.45,147.71,146.56,104.83,103.62,99.95,99.02,119.56,118.54,133.12,131.41,123.53,122.17,120.55,119.25
9/1/1997,134.77,133.55,131.58,130.77,104.10,103.14,147.61,146.68,104.39,103.39,99.85,99.35,119.33,118.55,133.61,132.18,123.56,122.71,120.32,119.39
10/1/1997,135.12,134.06,131.39,130.84,105.35,104.59,147.92,147.27,105.42,104.69,99.84,99.61,119.67,119.11,133.70,132.76,123.93,123.24,120.71,120.03
11/1/1997,135.00,134.40,132.17,131.58,103.88,103.51,147.45,147.37,105.40,105.06,100.95,100.84,120.16,119.69,133.57,132.74,124.59,123.94,120.87,120.40
12/1/1997,134.89,134.73,132.50,132.19,104.48,104.25,147.98,148.27,105.63,105.68,100.68,100.79,120.41,120.23,133.24,133.04,124.36,124.13,120.94,120.81
1/1/1998,134.79,135.25,132.98,132.76,104.05,104.11,147.43,148.00,104.37,104.64,101.09,101.52,120.38,120.16,134.66,135.09,125.13,125.24,121.06,121.23
2/1/1998,136.05,136.06,132.97,132.73,104.20,104.87,148.83,149.43,106.74,107.70,102.30,102.76,121.24,121.06,135.10,135.17,125.67,125.54,121.94,122.12
3/1/1998,136.82,136.35,134.16,133.68,105.78,105.81,149.68,149.46,106.87,107.44,103.42,103.27,121.78,121.34,135.88,135.28,126.25,125.97,122.82,122.54
4/1/1998,137.58,136.77,134.92,134.15,106.32,106.11,151.52,150.84,108.39,108.30,105.00,104.53,122.45,121.83,136.24,135.45,126.90,126.15,123.73,123.13
5/1/1998,138.68,137.16,135.80,134.92,106.99,106.25,151.91,150.92,109.51,108.96,106.14,105.18,122.89,122.20,137.71,136.19,127.98,126.84,124.64,123.61
6/1/1998,139.63,137.90,136.80,135.45,108.79,107.09,152.46,151.34,111.54,109.79,107.18,106.08,124.02,122.85,139.41,137.63,128.87,127.60,125.85,124.41
7/1/1998,140.00,138.17,136.51,135.47,108.71,106.98,153.06,151.92,111.82,110.32,107.52,106.47,124.03,123.06,139.59,137.68,129.79,128.38,126.10,124.69
8/1/1998,140.32,138.74,136.56,135.56,109.40,107.66,153.88,152.75,112.58,111.18,108.20,107.24,124.42,123.36,140.13,138.29,130.21,128.80,126.61,125.25
9/1/1998,140.85,139.54,137.80,136.93,109.48,108.38,154.10,153.17,113.34,112.15,108.36,107.81,125.17,124.34,140.81,139.31,130.31,129.40,127.06,126.06
10/1/1998,141.43,140.31,137.60,137.00,109.31,108.49,154.77,154.14,112.99,112.07,109.07,108.83,125.19,124.56,141.18,140.16,130.64,129.90,127.32,126.58
11/1/1998,141.72,141.15,138.68,138.06,109.49,109.03,154.52,154.37,114.57,114.16,109.61,109.50,125.69,125.25,142.82,141.95,130.96,130.33,127.88,127.40
12/1/1998,141.63,141.54,138.60,138.27,110.14,109.89,154.89,155.25,114.65,114.69,109.42,109.56,125.87,125.67,142.78,142.67,131.93,131.69,128.08,127.97
1/1/1999,141.66,142.11,139.11,138.73,110.56,110.49,154.94,155.53,114.63,115.06,110.74,111.22,126.70,126.47,143.09,143.47,131.77,131.96,128.55,128.71
2/1/1999,142.84,142.87,139.74,139.53,110.16,110.88,155.95,156.49,115.33,116.39,111.21,111.64,127.23,127.03,143.20,143.35,132.35,132.24,129.07,129.26
3/1/1999,143.78,143.27,140.63,140.16,110.63,110.74,158.31,157.96,116.24,116.86,112.81,112.58,127.94,127.50,144.81,144.21,132.97,132.61,130.10,129.80
4/1/1999,144.63,143.78,140.89,140.12,111.77,111.62,158.58,157.86,118.03,117.94,113.81,113.31,128.81,128.13,145.94,145.07,134.45,133.54,131.10,130.46
5/1/1999,146.31,144.70,141.67,140.75,113.12,112.44,159.76,158.70,119.75,119.14,115.09,114.01,129.82,129.01,147.31,145.63,135.19,133.99,132.34,131.23
6/1/1999,146.98,145.13,142.27,140.87,115.40,113.55,160.67,159.41,121.84,119.92,116.00,114.77,130.47,129.21,148.58,146.56,135.98,134.63,133.41,131.84
7/1/1999,147.84,145.87,142.50,141.41,116.19,114.36,161.40,160.27,122.90,121.09,116.36,115.29,130.98,129.89,149.05,146.95,137.03,135.51,134.07,132.56
8/1/1999,148.54,146.83,142.93,141.91,116.69,114.89,162.32,161.14,123.88,122.27,117.25,116.25,131.70,130.65,150.44,148.45,137.54,136.07,134.82,133.40
9/1/1999,148.45,147.03,143.35,142.43,116.35,115.06,163.40,162.47,124.81,123.39,117.67,117.04,131.74,130.83,149.59,147.99,137.20,136.23,134.87,133.76
10/1/1999,148.97,147.79,142.96,142.24,117.32,116.40,163.02,162.36,125.00,123.88,118.44,118.14,132.75,132.03,149.72,148.61,138.03,137.21,135.47,134.63
11/1/1999,148.66,148.07,143.88,143.25,117.24,116.63,163.56,163.34,125.01,124.51,118.84,118.77,132.76,132.34,150.34,149.41,138.40,137.78,135.65,135.14
12/1/1999,148.85,148.84,144.08,143.77,117.21,116.96,163.62,163.97,126.35,126.39,119.38,119.54,132.93,132.70,150.25,150.15,138.64,138.42,135.91,135.80
1/1/2000,150.02,150.47,144.78,144.29,119.04,118.87,164.45,165.04,127.25,127.88,121.99,122.51,134.04,133.81,150.98,151.30,139.37,139.64,137.24,137.39
2/1/2000,149.61,149.68,144.84,144.67,117.75,118.46,165.01,165.48,126.63,127.89,121.01,121.43,134.45,134.23,152.15,152.44,139.57,139.50,137.04,137.24
3/1/2000,151.58,151.06,144.99,144.53,119.40,119.60,166.77,166.35,129.10,129.79,123.32,123.07,135.21,134.78,153.51,152.88,141.15,140.73,138.61,138.29
4/1/2000,152.65,151.75,146.34,145.65,120.61,120.56,167.57,166.85,131.29,131.18,124.34,123.84,136.67,135.92,155.19,154.26,142.49,141.41,139.90,139.22
5/1/2000,153.85,152.14,146.56,145.65,121.64,120.99,168.58,167.46,133.62,132.92,126.16,124.99,137.48,136.55,156.50,154.70,143.18,141.91,141.04,139.85
6/1/2000,155.19,153.22,147.48,146.00,123.89,121.91,170.29,168.88,136.75,134.65,127.33,125.97,138.78,137.44,157.43,155.20,144.02,142.60,142.47,140.78
7/1/2000,156.05,153.93,147.84,146.68,124.59,122.67,170.51,169.34,137.61,135.44,128.18,127.05,139.41,138.15,158.37,156.07,144.83,143.23,143.19,141.55
8/1/2000,156.17,154.30,147.33,146.20,125.14,123.25,171.05,169.79,138.15,136.33,129.37,128.27,139.60,138.49,158.92,156.77,145.21,143.67,143.62,142.08
9/1/2000,156.36,154.81,147.39,146.43,126.25,124.72,171.07,170.11,139.73,138.02,130.32,129.54,140.53,139.47,159.33,157.58,145.39,144.32,144.25,142.99
10/1/2000,156.45,155.18,147.66,146.77,126.29,125.25,172.03,171.33,141.11,139.78,131.36,130.98,140.92,140.07,159.75,158.53,145.76,144.85,144.72,143.77
11/1/2000,156.32,155.73,148.08,147.44,127.19,126.43,172.90,172.66,140.69,140.11,132.64,132.59,141.13,140.69,159.56,158.58,146.37,145.78,145.17,144.62
12/1/2000,156.64,156.69,147.14,146.84,127.59,127.34,172.88,173.20,142.10,142.22,133.57,133.74,142.28,142.04,159.49,159.38,145.93,145.68,145.58,145.48
1/1/2001,156.81,157.28,148.31,147.72,128.15,127.92,174.41,175.03,142.82,143.64,134.41,135.01,143.08,142.89,160.67,160.98,146.03,146.41,146.26,146.44
2/1/2001,157.82,157.96,148.72,148.66,128.63,129.31,175.64,176.19,144.10,145.60,136.14,136.58,143.48,143.26,160.99,161.41,147.72,147.73,147.21,147.45
3/1/2001,158.95,158.48,149.08,148.64,129.76,130.03,176.82,176.45,146.08,146.76,137.96,137.73,145.23,144.83,162.83,162.19,148.15,147.63,148.53,148.23
4/1/2001,160.19,159.23,149.60,148.99,130.73,130.76,177.59,176.83,148.11,147.93,139.14,138.69,146.35,145.58,164.90,163.94,149.80,148.58,149.78,149.08
5/1/2001,161.58,159.77,150.77,149.87,132.44,131.77,179.33,178.23,150.83,149.99,140.77,139.53,147.11,146.05,166.18,164.28,149.84,148.52,151.03,149.77
6/1/2001,162.41,160.30,151.23,149.64,135.15,133.07,180.37,178.85,153.34,150.99,141.68,140.15,148.25,146.84,167.40,164.99,150.71,149.15,152.28,150.46
7/1/2001,163.04,160.78,151.17,149.91,136.03,133.97,180.28,178.99,155.17,152.55,142.48,141.15,149.57,148.15,168.47,165.96,151.60,149.99,153.13,151.33
8/1/2001,163.33,161.30,151.71,150.41,137.52,135.50,181.07,179.72,156.78,154.73,143.38,142.11,150.12,148.93,168.53,166.26,151.24,149.62,153.73,152.06
9/1/2001,163.68,162.01,151.96,150.94,138.16,136.38,180.57,179.52,157.37,155.29,144.47,143.49,150.52,149.29,169.20,167.31,151.88,150.74,154.25,152.83
10/1/2001,164.39,163.04,153.05,151.97,138.44,137.28,181.28,180.53,158.08,156.51,144.72,144.24,151.54,150.56,169.74,168.42,152.09,151.10,154.85,153.78
11/1/2001,163.81,163.18,152.34,151.73,139.60,138.67,182.15,181.91,157.90,157.29,145.01,144.95,151.45,150.97,169.23,168.21,151.61,151.05,154.83,154.24
12/1/2001,163.71,163.77,152.33,152.02,139.41,139.13,182.06,182.35,159.40,159.67,146.48,146.65,152.52,152.27,169.81,169.71,151.99,151.70,155.36,155.25
1/1/2002,164.08,164.63,153.38,152.79,140.74,140.50,182.49,183.12,160.09,161.10,147.34,148.11,153.29,153.17,169.87,170.26,151.18,151.65,155.90,156.15
2/1/2002,164.78,165.03,152.23,152.23,141.16,141.75,183.65,184.31,161.45,163.20,148.87,149.36,154.77,154.57,170.02,170.52,152.45,152.55,156.79,157.08
3/1/2002,166.19,165.78,154.18,153.79,142.88,143.22,184.96,184.65,162.78,163.39,151.22,151.10,155.41,155.00,172.33,171.67,154.02,153.41,158.35,158.05
4/1/2002,167.11,166.09,153.98,153.36,144.50,144.57,186.25,185.45,166.67,166.35,152.95,152.56,156.86,156.08,173.48,172.48,154.77,153.50,159.66,158.91
5/1/2002,168.59,166.66,154.74,153.83,147.06,146.30,187.09,185.96,168.85,167.76,156.09,154.78,158.35,157.17,175.12,173.09,155.50,154.10,161.38,160.00
6/1/2002,169.78,167.50,155.79,154.07,149.35,147.17,188.06,186.39,172.86,170.27,158.43,156.75,159.61,158.06,176.76,174.21,156.11,154.43,162.95,160.99
7/1/2002,170.32,167.91,155.80,154.40,151.04,148.78,188.82,187.35,176.08,173.07,160.54,158.90,160.68,159.10,177.38,174.62,156.36,154.74,164.02,162.03
8/1/2002,170.70,168.49,157.27,155.74,152.65,150.42,190.46,188.94,176.29,174.00,162.16,160.63,161.24,159.87,178.04,175.65,156.64,154.96,164.91,163.06
9/1/2002,171.09,169.29,156.50,155.45,153.66,151.65,190.17,188.99,178.02,175.54,163.23,161.94,163.02,161.63,178.49,176.42,156.88,155.68,165.67,164.07
10/1/2002,171.14,169.68,157.77,156.58,154.45,153.14,191.60,190.74,179.16,177.36,164.91,164.34,163.58,162.48,178.62,177.18,157.28,156.24,166.40,165.21
11/1/2002,171.63,170.99,157.65,157.06,155.00,153.92,191.60,191.39,179.79,179.21,165.58,165.46,164.06,163.50,179.03,177.96,157.19,156.66,166.77,166.15
12/1/2002,171.10,171.20,157.71,157.42,156.63,156.34,192.57,192.88,179.95,180.39,166.93,167.14,165.15,164.91,179.62,179.54,157.77,157.43,167.46,167.36
1/1/2003,171.69,172.39,158.28,157.75,157.55,157.27,192.72,193.47,180.99,182.31,168.39,169.50,165.48,165.48,179.97,180.48,157.50,158.04,168.03,168.41
2/1/2003,172.22,172.61,159.31,159.45,158.69,159.23,193.42,194.25,181.16,183.11,170.69,171.22,167.12,166.98,180.40,180.90,158.10,158.28,169.12,169.47
3/1/2003,173.29,173.00,159.28,158.95,159.33,159.69,195.25,195.05,183.61,184.02,172.47,172.52,168.07,167.61,182.48,181.79,158.92,158.21,170.29,170.00
4/1/2003,174.75,173.65,160.35,159.70,161.17,161.22,197.06,196.19,187.01,186.45,175.07,174.69,169.49,168.67,182.95,181.92,159.73,158.48,171.86,171.07
5/1/2003,176.54,174.40,161.06,160.10,163.60,162.72,198.06,196.83,188.14,186.75,177.62,176.12,171.24,169.90,184.69,182.54,160.62,159.10,173.55,172.01
6/1/2003,177.26,174.78,162.55,160.70,165.78,163.46,199.59,197.72,191.45,188.59,179.22,177.26,172.89,171.16,186.29,183.56,160.93,159.09,174.98,172.82
7/1/2003,178.17,175.57,162.83,161.29,167.35,164.88,201.18,199.48,192.53,189.26,181.84,179.80,174.46,172.74,187.49,184.45,161.43,159.77,176.29,174.10
8/1/2003,178.78,176.36,163.69,162.02,169.49,167.02,201.99,200.22,194.13,191.72,184.56,182.69,174.95,173.33,188.13,185.57,162.22,160.45,177.44,175.37
9/1/2003,178.88,176.95,164.16,163.09,171.08,168.92,203.69,202.35,197.42,194.69,186.82,185.15,176.23,174.66,188.88,186.64,162.59,161.33,178.58,176.81
10/1/2003,179.37,177.81,164.23,163.08,171.12,169.63,204.26,203.25,197.90,196.07,189.30,188.67,177.16,175.99,188.63,187.06,162.05,160.96,179.14,177.86
11/1/2003,179.22,178.59,163.50,162.88,172.28,171.12,204.73,204.56,198.95,198.44,191.69,191.51,178.38,177.69,189.76,188.64,162.07,161.55,179.91,179.23
12/1/2003,179.45,179.61,164.34,164.04,173.76,173.48,206.28,206.67,200.14,200.83,194.17,194.52,179.14,178.91,188.73,188.71,162.87,162.53,180.82,180.76
