rows,cash,hsg,debt,hsg_pos,hsg_zero
160,0.3023666220388561,-0.013524991918665297,0.02015817827176436,0.00029542617476074895,-0.013520102910748566
150,0.30573585807629255,-0.013280246200803258,0.0402780923061532,0.0004277893617281592,-0.01324678544026714
140,0.3055827618761362,-0.013157676843953858,0.04030956070616565,0.00044198842028597696,-0.013123604099733122
130,0.3065512073810903,-0.01343571832461965,0.04031016108010288,0.00029522903421996816,-0.01334559745434083
120,0.3073980569534802,-0.012456773035236957,0.04068816213950077,0.0010449114201867005,-0.01242994516311402
110,0.3092120458129588,-0.008835941481556642,0.04316364144285023,0.0034788784361055036,-0.00880266732087076
100,0.31688745898431137,0.006379637694033491,0.05520753998928285,0.011912421277796792,0.006331120357806697
90,0.34742378229898563,0.16524503229973186,0.2561879789895021,0.175493811172025,0.1651869927198475
80,0.3187391483493811,0.24163731277026645,0.3074474021587106,0.3010013377088132,0.24163731277026645
70,0.2272936811076982,0.1618685252184795,0.2189412423480892,0.17925153020675166,0.1618685252184795
60,0.17385586126239616,0.11798471907104968,0.16811081579233456,0.14126188647043225,0.11798471907104968
50,0.14192193592693236,0.09104729329271333,0.1374655290120872,0.10937428862570986,0.09104729329271333
40,0.12203025334850359,0.07449697430675872,0.11839252984052973,0.09244803298230231,0.07449697430675872
30,0.10772103254917553,0.06237860823212671,0.1045876896316722,0.07991505031182644,0.06237860823212671
20,0.09799812060840196,0.05409446629266501,0.09516328364121218,0.07129996066799027,0.05409446629266501
10,0.09110866000847562,0.048254806369225633,0.08849509883564544,0.06529902189400794,0.048254806369225633
