DATE,HQMCB20YR
2011-10-01,5.18
2011-11-01,5.05
2011-12-01,5.02
2012-01-01,4.98
2012-02-01,4.94
2012-03-01,5.04
2012-04-01,5.00
2012-05-01,4.82
2012-06-01,4.67
2012-07-01,4.37
2012-08-01,4.43
2012-09-01,4.51
2012-10-01,4.38
2012-11-01,4.34
2012-12-01,4.46
2013-01-01,4.61
2013-02-01,4.72
2013-03-01,4.76
2013-04-01,4.53
2013-05-01,4.68
2013-06-01,5.11
2013-07-01,5.23
2013-08-01,5.38
2013-09-01,5.41
2013-10-01,5.28
2013-11-01,5.39
2013-12-01,5.37
2014-01-01,5.18
