DATE,DGS10
2011-10-03,1.80
2011-10-04,1.81
2011-10-05,1.92
2011-10-06,2.01
2011-10-07,2.10
2011-10-10,.
2011-10-11,2.18
2011-10-12,2.24
2011-10-13,2.19
2011-10-14,2.26
2011-10-17,2.18
2011-10-18,2.19
2011-10-19,2.18
2011-10-20,2.20
2011-10-21,2.23
2011-10-24,2.25
2011-10-25,2.14
2011-10-26,2.23
2011-10-27,2.42
2011-10-28,2.34
2011-10-31,2.17
2011-11-01,2.01
2011-11-02,2.03
2011-11-03,2.09
2011-11-04,2.06
2011-11-07,2.04
2011-11-08,2.10
2011-11-09,2.00
2011-11-10,2.04
2011-11-11,.
2011-11-14,2.04
2011-11-15,2.06
2011-11-16,2.01
2011-11-17,1.96
2011-11-18,2.01
2011-11-21,1.97
2011-11-22,1.94
2011-11-23,1.89
2011-11-24,.
2011-11-25,1.97
2011-11-28,1.97
2011-11-29,2.00
2011-11-30,2.08
2011-12-01,2.11
2011-12-02,2.05
2011-12-05,2.04
2011-12-06,2.08
2011-12-07,2.02
2011-12-08,1.99
2011-12-09,2.07
2011-12-12,2.03
2011-12-13,1.96
2011-12-14,1.92
2011-12-15,1.92
2011-12-16,1.86
2011-12-19,1.82
2011-12-20,1.94
2011-12-21,1.98
2011-12-22,1.97
2011-12-23,2.03
2011-12-26,.
2011-12-27,2.02
2011-12-28,1.93
2011-12-29,1.91
2011-12-30,1.89
2012-01-02,.
2012-01-03,1.97
2012-01-04,2.00
2012-01-05,2.02
2012-01-06,1.98
2012-01-09,1.98
2012-01-10,2.00
2012-01-11,1.93
2012-01-12,1.94
2012-01-13,1.89
2012-01-16,.
2012-01-17,1.87
2012-01-18,1.92
2012-01-19,2.01
2012-01-20,2.05
2012-01-23,2.09
2012-01-24,2.08
2012-01-25,2.01
2012-01-26,1.96
2012-01-27,1.93
2012-01-30,1.87
2012-01-31,1.83
2012-02-01,1.87
2012-02-02,1.86
2012-02-03,1.97
2012-02-06,1.93
2012-02-07,2.00
2012-02-08,2.01
2012-02-09,2.04
2012-02-10,1.96
2012-02-13,1.99
2012-02-14,1.92
2012-02-15,1.93
2012-02-16,1.99
2012-02-17,2.01
2012-02-20,.
2012-02-21,2.05
2012-02-22,2.01
2012-02-23,1.99
2012-02-24,1.98
2012-02-27,1.92
2012-02-28,1.94
2012-02-29,1.98
2012-03-01,2.03
2012-03-02,1.99
2012-03-05,2.00
2012-03-06,1.96
2012-03-07,1.98
2012-03-08,2.03
2012-03-09,2.04
2012-03-12,2.04
2012-03-13,2.14
2012-03-14,2.29
2012-03-15,2.29
2012-03-16,2.31
2012-03-19,2.39
2012-03-20,2.38
2012-03-21,2.31
2012-03-22,2.29
2012-03-23,2.25
2012-03-26,2.26
2012-03-27,2.20
2012-03-28,2.21
2012-03-29,2.18
2012-03-30,2.23
2012-04-02,2.22
2012-04-03,2.30
2012-04-04,2.25
2012-04-05,2.19
2012-04-06,2.07
2012-04-09,2.06
2012-04-10,2.01
2012-04-11,2.05
2012-04-12,2.08
2012-04-13,2.02
2012-04-16,2.00
2012-04-17,2.03
2012-04-18,2.00
2012-04-19,1.98
2012-04-20,1.99
2012-04-23,1.96
2012-04-24,2.00
2012-04-25,2.01
2012-04-26,1.98
2012-04-27,1.96
2012-04-30,1.95
2012-05-01,1.98
2012-05-02,1.96
2012-05-03,1.96
2012-05-04,1.91
2012-05-07,1.92
2012-05-08,1.88
2012-05-09,1.87
2012-05-10,1.89
2012-05-11,1.84
2012-05-14,1.78
2012-05-15,1.76
2012-05-16,1.76
2012-05-17,1.70
2012-05-18,1.71
2012-05-21,1.75
2012-05-22,1.79
2012-05-23,1.73
2012-05-24,1.77
2012-05-25,1.75
2012-05-28,.
2012-05-29,1.74
2012-05-30,1.63
2012-05-31,1.59
2012-06-01,1.47
2012-06-04,1.53
2012-06-05,1.57
2012-06-06,1.66
2012-06-07,1.66
2012-06-08,1.65
2012-06-11,1.60
2012-06-12,1.67
2012-06-13,1.61
2012-06-14,1.64
2012-06-15,1.60
2012-06-18,1.59
2012-06-19,1.64
2012-06-20,1.65
2012-06-21,1.63
2012-06-22,1.69
2012-06-25,1.63
2012-06-26,1.66
2012-06-27,1.65
2012-06-28,1.60
2012-06-29,1.67
2012-07-02,1.61
2012-07-03,1.65
2012-07-04,.
2012-07-05,1.62
2012-07-06,1.57
2012-07-09,1.53
2012-07-10,1.53
2012-07-11,1.54
2012-07-12,1.50
2012-07-13,1.52
2012-07-16,1.50
2012-07-17,1.53
2012-07-18,1.52
2012-07-19,1.54
2012-07-20,1.49
2012-07-23,1.47
2012-07-24,1.44
2012-07-25,1.43
2012-07-26,1.45
2012-07-27,1.58
2012-07-30,1.53
2012-07-31,1.51
2012-08-01,1.56
2012-08-02,1.51
2012-08-03,1.60
2012-08-06,1.59
2012-08-07,1.66
2012-08-08,1.68
2012-08-09,1.69
2012-08-10,1.65
2012-08-13,1.65
2012-08-14,1.73
2012-08-15,1.80
2012-08-16,1.83
2012-08-17,1.81
2012-08-20,1.82
2012-08-21,1.80
2012-08-22,1.71
2012-08-23,1.68
2012-08-24,1.68
2012-08-27,1.65
2012-08-28,1.64
2012-08-29,1.66
2012-08-30,1.63
2012-08-31,1.57
2012-09-03,.
2012-09-04,1.59
2012-09-05,1.60
2012-09-06,1.68
2012-09-07,1.67
2012-09-10,1.68
2012-09-11,1.70
2012-09-12,1.77
2012-09-13,1.75
2012-09-14,1.88
2012-09-17,1.85
2012-09-18,1.82
2012-09-19,1.79
2012-09-20,1.80
2012-09-21,1.77
2012-09-24,1.74
2012-09-25,1.70
2012-09-26,1.64
2012-09-27,1.66
2012-09-28,1.65
2012-10-01,1.64
2012-10-02,1.64
2012-10-03,1.64
2012-10-04,1.70
2012-10-05,1.75
2012-10-08,.
2012-10-09,1.74
2012-10-10,1.72
2012-10-11,1.70
2012-10-12,1.69
2012-10-15,1.70
2012-10-16,1.75
2012-10-17,1.83
2012-10-18,1.86
2012-10-19,1.79
2012-10-22,1.83
2012-10-23,1.79
2012-10-24,1.80
2012-10-25,1.86
2012-10-26,1.78
2012-10-29,1.74
2012-10-30,.
2012-10-31,1.72
2012-11-01,1.75
2012-11-02,1.75
2012-11-05,1.72
2012-11-06,1.78
2012-11-07,1.68
2012-11-08,1.62
2012-11-09,1.61
2012-11-12,.
2012-11-13,1.59
2012-11-14,1.59
2012-11-15,1.58
2012-11-16,1.58
2012-11-19,1.61
2012-11-20,1.66
2012-11-21,1.69
2012-11-22,.
2012-11-23,1.70
2012-11-26,1.66
2012-11-27,1.64
2012-11-28,1.63
2012-11-29,1.62
2012-11-30,1.62
2012-12-03,1.63
2012-12-04,1.62
2012-12-05,1.60
2012-12-06,1.59
2012-12-07,1.64
2012-12-10,1.63
2012-12-11,1.66
2012-12-12,1.72
2012-12-13,1.74
2012-12-14,1.72
2012-12-17,1.78
2012-12-18,1.84
2012-12-19,1.82
2012-12-20,1.81
2012-12-21,1.77
2012-12-24,1.79
2012-12-25,.
2012-12-26,1.77
2012-12-27,1.74
2012-12-28,1.73
2012-12-31,1.78
2013-01-01,.
2013-01-02,1.86
2013-01-03,1.92
2013-01-04,1.93
2013-01-07,1.92
2013-01-08,1.89
2013-01-09,1.88
2013-01-10,1.91
2013-01-11,1.89
2013-01-14,1.89
2013-01-15,1.86
2013-01-16,1.84
2013-01-17,1.89
2013-01-18,1.87
2013-01-21,.
2013-01-22,1.86
2013-01-23,1.86
2013-01-24,1.88
2013-01-25,1.98
2013-01-28,2.00
2013-01-29,2.03
2013-01-30,2.03
2013-01-31,2.02
2013-02-01,2.04
2013-02-04,2.00
2013-02-05,2.04
2013-02-06,2.00
2013-02-07,1.99
2013-02-08,1.99
2013-02-11,1.99
2013-02-12,2.02
2013-02-13,2.05
2013-02-14,2.00
2013-02-15,2.01
2013-02-18,.
2013-02-19,2.03
2013-02-20,2.02
2013-02-21,1.99
2013-02-22,1.97
2013-02-25,1.88
2013-02-26,1.88
2013-02-27,1.91
2013-02-28,1.89
2013-03-01,1.86
2013-03-04,1.88
2013-03-05,1.90
2013-03-06,1.95
2013-03-07,2.00
2013-03-08,2.06
2013-03-11,2.07
2013-03-12,2.03
2013-03-13,2.04
2013-03-14,2.04
2013-03-15,2.01
2013-03-18,1.96
2013-03-19,1.92
2013-03-20,1.96
2013-03-21,1.95
2013-03-22,1.93
2013-03-25,1.93
2013-03-26,1.92
2013-03-27,1.87
2013-03-28,1.87
2013-03-29,.
2013-04-01,1.86
2013-04-02,1.88
2013-04-03,1.83
2013-04-04,1.78
2013-04-05,1.72
2013-04-08,1.76
2013-04-09,1.78
2013-04-10,1.84
