DATE,DGS20
2011-10-03,2.51
2011-10-04,2.53
2011-10-05,2.62
2011-10-06,2.71
2011-10-07,2.78
2011-10-10,.
2011-10-11,2.87
2011-10-12,2.94
2011-10-13,2.90
2011-10-14,2.97
2011-10-17,2.88
2011-10-18,2.91
2011-10-19,2.90
2011-10-20,2.92
2011-10-21,2.98
2011-10-24,3.00
2011-10-25,2.86
2011-10-26,2.95
2011-10-27,3.18
2011-10-28,3.09
2011-10-31,2.89
2011-11-01,2.73
2011-11-02,2.75
2011-11-03,2.83
2011-11-04,2.81
2011-11-07,2.77
2011-11-08,2.84
2011-11-09,2.73
2011-11-10,2.80
2011-11-11,.
2011-11-14,2.77
2011-11-15,2.79
2011-11-16,2.73
2011-11-17,2.66
2011-11-18,2.69
2011-11-21,2.65
2011-11-22,2.60
2011-11-23,2.53
2011-11-24,.
2011-11-25,2.62
2011-11-28,2.63
2011-11-29,2.66
2011-11-30,2.77
2011-12-01,2.82
2011-12-02,2.74
2011-12-05,2.73
2011-12-06,2.74
2011-12-07,2.74
2011-12-08,2.70
2011-12-09,2.79
2011-12-12,2.75
2011-12-13,2.66
2011-12-14,2.59
2011-12-15,2.60
2011-12-16,2.54
2011-12-19,2.48
2011-12-20,2.61
2011-12-21,2.67
2011-12-22,2.67
2011-12-23,2.73
2011-12-26,.
2011-12-27,2.72
2011-12-28,2.59
2011-12-29,2.58
2011-12-30,2.57
2012-01-02,.
2012-01-03,2.67
2012-01-04,2.71
2012-01-05,2.74
2012-01-06,2.70
2012-01-09,2.70
2012-01-10,2.71
2012-01-11,2.63
2012-01-12,2.65
2012-01-13,2.59
2012-01-16,.
2012-01-17,2.57
2012-01-18,2.63
2012-01-19,2.72
2012-01-20,2.78
2012-01-23,2.82
2012-01-24,2.82
2012-01-25,2.78
2012-01-26,2.74
2012-01-27,2.71
2012-01-30,2.64
2012-01-31,2.59
2012-02-01,2.65
2012-02-02,2.64
2012-02-03,2.76
2012-02-06,2.71
2012-02-07,2.78
2012-02-08,2.78
2012-02-09,2.83
2012-02-10,2.75
2012-02-13,2.78
2012-02-14,2.70
2012-02-15,2.72
2012-02-16,2.78
2012-02-17,2.80
2012-02-20,.
2012-02-21,2.84
2012-02-22,2.79
2012-02-23,2.77
2012-02-24,2.75
2012-02-27,2.69
2012-02-28,2.71
2012-02-29,2.73
2012-03-01,2.80
2012-03-02,2.77
2012-03-05,2.78
2012-03-06,2.73
2012-03-07,2.76
2012-03-08,2.82
2012-03-09,2.83
2012-03-12,2.82
2012-03-13,2.92
2012-03-14,3.08
2012-03-15,3.08
2012-03-16,3.08
2012-03-19,3.14
2012-03-20,3.13
2012-03-21,3.06
2012-03-22,3.04
2012-03-23,2.99
2012-03-26,3.00
2012-03-27,2.96
2012-03-28,2.97
2012-03-29,2.93
2012-03-30,3.00
2012-04-02,3.00
2012-04-03,3.07
2012-04-04,3.02
2012-04-05,2.97
2012-04-06,2.85
2012-04-09,2.82
2012-04-10,2.77
2012-04-11,2.82
2012-04-12,2.85
2012-04-13,2.77
2012-04-16,2.75
2012-04-17,2.79
2012-04-18,2.76
2012-04-19,2.74
2012-04-20,2.75
2012-04-23,2.71
2012-04-24,2.75
2012-04-25,2.76
2012-04-26,2.74
2012-04-27,2.73
2012-04-30,2.73
2012-05-01,2.76
2012-05-02,2.72
2012-05-03,2.72
2012-05-04,2.67
2012-05-07,2.67
2012-05-08,2.63
2012-05-09,2.63
2012-05-10,2.64
2012-05-11,2.59
2012-05-14,2.53
2012-05-15,2.50
2012-05-16,2.48
2012-05-17,2.39
2012-05-18,2.40
2012-05-21,2.42
2012-05-22,2.48
2012-05-23,2.41
2012-05-24,2.46
2012-05-25,2.44
2012-05-28,.
2012-05-29,2.44
2012-05-30,2.32
2012-05-31,2.27
2012-06-01,2.13
2012-06-04,2.17
2012-06-05,2.23
2012-06-06,2.34
2012-06-07,2.35
2012-06-08,2.36
2012-06-11,2.30
2012-06-12,2.37
2012-06-13,2.30
2012-06-14,2.33
2012-06-15,2.30
2012-06-18,2.28
2012-06-19,2.33
2012-06-20,2.34
2012-06-21,2.30
2012-06-22,2.37
2012-06-25,2.31
2012-06-26,2.34
2012-06-27,2.32
2012-06-28,2.28
2012-06-29,2.38
2012-07-02,2.30
2012-07-03,2.36
2012-07-04,.
2012-07-05,2.34
2012-07-06,2.28
2012-07-09,2.24
2012-07-10,2.22
2012-07-11,2.22
2012-07-12,2.18
2012-07-13,2.20
2012-07-16,2.18
2012-07-17,2.22
2012-07-18,2.21
2012-07-19,2.24
2012-07-20,2.17
2012-07-23,2.15
2012-07-24,2.11
2012-07-25,2.11
2012-07-26,2.13
2012-07-27,2.27
2012-07-30,2.22
2012-07-31,2.21
2012-08-01,2.25
2012-08-02,2.20
2012-08-03,2.30
2012-08-06,2.29
2012-08-07,2.37
2012-08-08,2.39
2012-08-09,2.40
2012-08-10,2.37
2012-08-13,2.37
2012-08-14,2.45
2012-08-15,2.53
2012-08-16,2.57
2012-08-17,2.55
2012-08-20,2.55
2012-08-21,2.53
2012-08-22,2.44
2012-08-23,2.41
2012-08-24,2.41
2012-08-27,2.38
2012-08-28,2.36
2012-08-29,2.38
2012-08-30,2.36
2012-08-31,2.29
2012-09-03,.
2012-09-04,2.30
2012-09-05,2.32
2012-09-06,2.41
2012-09-07,2.42
2012-09-10,2.43
2012-09-11,2.44
2012-09-12,2.52
2012-09-13,2.53
