DATE,DGS5
2011-10-03,0.87
2011-10-04,0.90
2011-10-05,0.96
2011-10-06,1.01
2011-10-07,1.08
2011-10-10,.
2011-10-11,1.14
2011-10-12,1.17
2011-10-13,1.11
2011-10-14,1.12
2011-10-17,1.08
2011-10-18,1.07
2011-10-19,1.05
2011-10-20,1.07
2011-10-21,1.08
2011-10-24,1.10
2011-10-25,1.01
2011-10-26,1.09
2011-10-27,1.20
2011-10-28,1.13
2011-10-31,0.99
2011-11-01,0.90
2011-11-02,0.89
2011-11-03,0.91
2011-11-04,0.88
2011-11-07,0.88
2011-11-08,0.92
2011-11-09,0.88
2011-11-10,0.90
2011-11-11,.
2011-11-14,0.91
2011-11-15,0.93
2011-11-16,0.90
2011-11-17,0.88
2011-11-18,0.94
2011-11-21,0.92
2011-11-22,0.91
2011-11-23,0.88
2011-11-24,.
2011-11-25,0.93
2011-11-28,0.91
2011-11-29,0.93
2011-11-30,0.96
2011-12-01,0.97
2011-12-02,0.92
2011-12-05,0.93
2011-12-06,0.94
2011-12-07,0.89
2011-12-08,0.86
2011-12-09,0.89
2011-12-12,0.87
2011-12-13,0.85
2011-12-14,0.86
2011-12-15,0.86
2011-12-16,0.81
2011-12-19,0.82
2011-12-20,0.88
2011-12-21,0.91
2011-12-22,0.91
2011-12-23,0.97
2011-12-26,.
2011-12-27,0.96
2011-12-28,0.91
2011-12-29,0.88
2011-12-30,0.83
2012-01-02,.
2012-01-03,0.89
2012-01-04,0.89
2012-01-05,0.88
2012-01-06,0.86
2012-01-09,0.85
2012-01-10,0.86
2012-01-11,0.82
2012-01-12,0.84
2012-01-13,0.80
2012-01-16,.
2012-01-17,0.79
2012-01-18,0.82
2012-01-19,0.87
2012-01-20,0.91
2012-01-23,0.93
2012-01-24,0.92
2012-01-25,0.81
2012-01-26,0.77
2012-01-27,0.75
2012-01-30,0.73
2012-01-31,0.71
2012-02-01,0.72
2012-02-02,0.71
2012-02-03,0.78
2012-02-06,0.76
2012-02-07,0.82
