DATE,HQMCB10YR
2011-10-01,4.36
2011-11-01,4.29
2011-12-01,4.28
2012-01-01,4.16
2012-02-01,4.07
2012-03-01,4.16
2012-04-01,4.09
2012-05-01,3.90
2012-06-01,3.74
2012-07-01,3.44
2012-08-01,3.49
2012-09-01,3.46
2012-10-01,3.30
2012-11-01,3.21
2012-12-01,3.27
2013-01-01,3.44
2013-02-01,3.52
2013-03-01,3.50
2013-04-01,3.30
2013-05-01,3.46
2013-06-01,3.97
2013-07-01,4.23
2013-08-01,4.38
2013-09-01,4.45
2013-10-01,4.23
2013-11-01,4.28
2013-12-01,4.35
2014-01-01,4.20
